"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Glass_Windows.Mat_PolygonCity_Glass_Windows","0","43","43","1","183.231354","0","0"
"/Game/PolygonTown/Materials/Misc/Mat_PolygonTown_WindowGlass_01.Mat_PolygonTown_WindowGlass_01","0","43","43","1","178.929031","0","0"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Water.Mat_PolygonCity_Water","0","244","249","1","770.720276","0","0"
"/Game/PolygonTown/Materials/Mat_PolygonTown_02_A.Mat_PolygonTown_02_A","0","48","48","1","28.187716","0","0"
"/Game/PolygonCity/Materials/Mat_PolygonCity_Skyline.Mat_PolygonCity_Skyline","0","49","51","1","23.998392","0","0"
"/Game/PolygonTown/Materials/Alts/Mat_PolygonTown_04_C.Mat_PolygonTown_04_C","0","48","48","1","27.493828","0","0"
"/Game/PolygonTown/Materials/Alts/Mat_PolygonTown_03_C.Mat_PolygonTown_03_C","0","48","48","1","27.655968","0","0"
"/Game/PolygonTown/Materials/Mat_PolygonTown_01_A.Mat_PolygonTown_01_A","0","48","48","1","27.644287","0","0"
"/Game/PolygonTown/Materials/Alts/Mat_PolygonTown_03_B.Mat_PolygonTown_03_B","0","48","48","1","28.439949","0","0"
"/Game/PolygonTown/Materials/Misc/Mat_PolygonTown_OpaqueGlass_01.Mat_PolygonTown_OpaqueGlass_01","0","24","24","1","15.638200","0","0"
"/Game/PolygonTown/Materials/Alts/Mat_PolygonTown_02_B.Mat_PolygonTown_02_B","0","48","48","1","28.304010","0","0"
"/Game/PolygonTown/Materials/Alts/Mat_PolygonTown_01_C.Mat_PolygonTown_01_C","0","48","48","1","28.330656","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","24","1","0.000000","0","0"
"/Game/PolygonTown/Materials/Misc/Mat_Road.Mat_Road","0","24","24","1","15.596140","0","0"
"/Engine/EngineMaterials/WorldGridMaterial_Low.WorldGridMaterial_Low","0","0","15","1","0.000000","0","0"
"/Game/LLLL/Character/Material/Boy01_Mouth_MAT1.Boy01_Mouth_MAT1","0","87","87","1","55.564240","0","0"
"/Game/LLLL/Character/Material/Boy01_Eyes_MAT1.Boy01_Eyes_MAT1","0","87","87","1","52.821678","0","0"
"/Game/LLLL/Character/Material/Boy01_Body_MAT.Boy01_Body_MAT","0","39","39","1","19.273211","0","0"
"/Game/LLLL/Character/Material/Boy01_Brows_MAT1.Boy01_Brows_MAT1","0","87","87","1","49.160278","0","0"
"/Game/PolygonTown/Materials/Misc/Mat_Mirror.Mat_Mirror","0","24","24","1","12.995503","0","0"
"/Game/PolygonTown/Materials/Misc/Mat_Cloud.Mat_Cloud","0","24","24","1","13.082754","0","0"
"/Game/LLLL/Blueprint/Object_Blueprint/2_2_Mat.2_2_Mat","0","11","11","1","2.597609","0","0"
"/Game/LLLL/Blueprint/Object_Blueprint/1_1_Mat.1_1_Mat","0","11","11","1","2.491011","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","68","1","0.000000","0","0"
